datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
0.919,1315.5,METERS,GHCND:CA1AB000053,51.2986,-114.5184,2019-06-22,2016-07-01,"COCHRANE 12.3 N BRBC, CA"
0.9759,1280.5,METERS,GHCND:CA1AB000054,51.3344,-114.3037,2019-06-22,2016-07-10,"COCHRANE 20.4 NE BRBC, CA"
0.9606,1109.8,METERS,GHCND:CA1AB000059,50.9573,-114.1183,2019-06-22,2016-08-17,"CALGARY 10.7 SSW, CA"
0.9012,691.9,METERS,GHCND:CA1AB000064,53.4435,-113.5607,2019-06-22,2016-10-24,"EDMONTON 11.2 SSW, CA"
0.7385,1213.4,METERS,GHCND:CA1AB000074,51.1318,-114.2192,2019-06-22,2018-03-02,"CALGARY 14.8 NW, CA"
0.3545,1675.8,METERS,GHCND:CA1BC000002,50.6567,-120.3782,2019-06-22,2014-08-05,"KAMLOOPS 3.2 SW, CA"
0.8822,122.8,METERS,GHCND:CA1BC000006,48.6677,-123.653,2019-06-22,2014-10-04,"COBBLE HILL 5.7 WSW, CA"
0.94,93.6,METERS,GHCND:CA1BC000008,48.7237,-123.6022,2019-06-22,2015-01-01,"COWICHAN BAY 1.9 SE, CA"
0.1821,569.1,METERS,GHCND:CA1BC000011,53.8249,-122.8559,2019-06-22,1998-06-17,"PRINCE GEORGE 11.0 SSW, CA"
0.8713,62.2,METERS,GHCND:CA1BC000016,48.9836,-123.8146,2019-06-22,2015-08-24,"LADYSMITH 1.1 SSE, CA"
0.9467,168.2,METERS,GHCND:CA1BC000018,49.2979,-122.8464,2019-06-22,2015-07-28,"PORT MOODY 2.6 NE, CA"
0.9936,435.6,METERS,GHCND:CA1BC000024,49.3232,-117.657,2019-06-22,2015-08-10,"CASTLEGAR 0.3 NE, CA"
0.9595,424.3,METERS,GHCND:CA1BC000028,49.5118,-119.5753,2019-06-22,2015-09-10,"PENTICTON 3.4 NNE, CA"
0.9974,152.4,METERS,GHCND:CA1BC000032,49.259,-122.8591,2019-06-22,2016-04-13,"COQUITLAM 0.9 NW, CA"
0.9234,11.6,METERS,GHCND:CA1BC000037,48.4794,-123.4047,2019-06-22,2016-12-08,"VICTORIA 6.0 NNW, CA"
0.9596,723.6,METERS,GHCND:CA1BC000041,51.2605,-120.2033,2019-06-22,2017-03-29,"CHINOOK COVE 4.0 NW, CA"
0.9983,2.1,METERS,GHCND:CA1BC000044,49.2739,-122.7349,2019-06-22,2017-11-26,"PORT COQUITLAM 2.7 NE, CA"
0.961,41.5,METERS,GHCND:CA1BC000046,49.8411,-124.5271,2019-06-22,2018-03-19,"POWELL RIVER 3.7 SSE, CA"
0.899,431.9,METERS,GHCND:CA1BC000050,50.704,-119.2645,2019-06-22,2018-08-30,"SALMON ARM 0.5 NNE, CA"
1.0,29.3,METERS,GHCND:CA1BC000052,49.28,-122.7863,2019-06-22,2018-11-19,"COQUITLAM 5.4 ENE, CA"
0.3009,381.9,METERS,GHCND:CA1MB000008,49.7573,-99.8474,2019-06-22,1998-06-17,"BRANDON 20.2 SE, CA"
0.1953,220.1,METERS,GHCND:CA1MB000019,50.6326,-96.9858,2019-06-22,2012-05-29,"GIMLI 0.1 SW, CA"
0.9741,253.0,METERS,GHCND:CA1MB000020,50.1967,-97.647,2019-06-22,2012-04-19,"WOODLANDS 1.5 SE, CA"
0.9009,444.1,METERS,GHCND:CA1MB000023,49.3007,-98.334,2019-06-22,2012-05-06,"MIAMI 10.4 SW, CA"
0.9667,248.1,METERS,GHCND:CA1MB000043,50.0786,-98.1029,2019-06-22,2012-05-27,"HIGH BLUFF 7.4 NNE, CA"
0.2675,491.0,METERS,GHCND:CA1MB000049,49.2374,-99.715,2019-06-22,2012-05-27,"KILLARNEY 7.2 NNW, CA"
0.995,292.9,METERS,GHCND:CA1MB000050,49.218,-98.0933,2019-06-22,2012-05-27,"MORDEN 3 NNE, CA"
0.8781,220.4,METERS,GHCND:CA1MB000052,50.2711,-96.9675,2019-06-22,2012-06-19,"CLANDEBOYE 3.2 N, CA"
0.0731,497.1,METERS,GHCND:CA1MB000053,49.9308,-101.156,2019-06-22,2012-06-08,"HARGRAVE 5.7 WNW, CA"
0.5939,233.2,METERS,GHCND:CA1MB000056,49.9326,-97.0475,2019-06-22,2012-08-06,"WINNIPEG 7.6 ENE, CA"
0.9943,217.0,METERS,GHCND:CA1MB000057,50.4925,-96.9545,2019-06-22,2012-09-23,"WINNIPEG BEACH 2.2 SE, CA"
0.9968,275.2,METERS,GHCND:CA1MB000062,49.4549,-96.7368,2019-06-22,2012-08-25,"STEINBACH 8.8 SSW, CA"
0.9512,263.3,METERS,GHCND:CA1MB000063,49.5196,-96.6794,2019-06-22,2012-08-16,"STEINBACH 0.8 SSE, CA"
0.9871,223.1,METERS,GHCND:CA1MB000065,50.0939,-96.9474,2019-06-22,2013-02-01,"LOCKPORT 1.4 NNW, CA"
0.6154,489.8,METERS,GHCND:CA1MB000067,49.2402,-98.5385,2019-06-22,2012-09-04,"MANITOU 0.03 S, CA"
0.9295,438.6,METERS,GHCND:CA1MB000075,49.8354,-100.8938,2019-06-22,2012-10-02,"VIRDEN 3.8 SE, CA"
0.2127,278.3,METERS,GHCND:CA1MB000076,50.5597,-99.0541,2019-06-22,2012-02-20,"WALDERSEE 0.1 S, CA"
0.9292,444.4,METERS,GHCND:CA1MB000077,49.023,-98.111,2019-06-22,2013-05-28,"MORDEN 18.9 S, CA"
0.9156,378.3,METERS,GHCND:CA1MB000079,50.2268,-99.4714,2019-06-22,2012-10-17,"NEEPAWA 0.3 WSW, CA"
0.8173,435.9,METERS,GHCND:CA1MB000084,49.8144,-100.5535,2019-06-22,2012-10-11,"OAK LAKE 7.8 NE, CA"
0.8441,231.3,METERS,GHCND:CA1MB000091,49.8838,-97.2918,2019-06-22,2012-11-08,"WINNIPEG 11.2 W, CA"
0.9942,270.4,METERS,GHCND:CA1MB000113,50.2774,-97.4461,2019-06-22,2013-05-15,"ARGYLE 8.5 N, CA"
0.4042,264.3,METERS,GHCND:CA1MB000114,50.3007,-97.3524,2019-06-22,2013-05-26,"BALMORAL 5.4 NNW, CA"
0.4846,304.5,METERS,GHCND:CA1MB000116,49.1827,-98.1042,2019-06-22,2013-07-07,"MORDEN 1.2 SSW, CA"
0.9837,531.9,METERS,GHCND:CA1MB000126,49.1971,-100.1496,2019-06-22,2013-12-03,"BOISSEVAIN 7.5 WSW, CA"
0.5833,229.2,METERS,GHCND:CA1MB000127,49.7912,-97.1608,2019-06-22,2013-11-21,"WINNIPEG 12.2 SSW, CA"
0.8265,236.2,METERS,GHCND:CA1MB000133,49.4587,-97.0062,2019-06-22,2013-12-25,"ST PIERRE JOLYS 2.5 NW, CA"
0.9144,624.8,METERS,GHCND:CA1MB000143,49.9042,-96.9975,2019-06-22,2014-04-18,"WINNIPEG 10.3 E, CA"
0.9374,624.2,METERS,GHCND:CA1MB000144,49.9566,-98.2381,2019-06-22,2014-04-24,"PORTAGE LA PRAIRIE 4.2 ESE, CA"
0.9244,625.4,METERS,GHCND:CA1MB000155,49.868,-100.0405,2019-06-22,2014-05-03,"BRANDON 6.1 WNW 4H, CA"
0.07,125.6,METERS,GHCND:CA1MB000157,49.2082,-98.2536,2019-06-22,2014-06-05,"THORNHILL 1.9 WNW, CA"
0.0465,625.1,METERS,GHCND:CA1MB000160,49.8729,-97.3031,2019-06-22,1998-06-17,"WINNIPEG 12.0 WSW STAM, CA"
0.9452,424.6,METERS,GHCND:CA1MB000162,51.913,-101.493,2019-06-22,2014-08-01,"DURBAN 4.3 WSW, CA"
0.1935,148.7,METERS,GHCND:CA1MB000163,49.022,-95.9566,2019-06-22,2014-06-14,"PINEY 16.1 SE MAFRD, CA"
0.958,625.1,METERS,GHCND:CA1MB000164,49.8917,-97.3055,2019-06-22,2014-06-17,"WINNIPEG 11.8 W, CA"
0.4411,627.9,METERS,GHCND:CA1MB000181,49.6773,-97.436,2019-06-22,2014-08-15,"SANFORD 0.8 ESE, CA"
0.675,634.9,METERS,GHCND:CA1MB000184,49.129,-98.2684,2019-06-22,2014-09-03,"DARLINGFORD 11.6 SE, CA"
0.6374,180.4,METERS,GHCND:CA1MB000201,49.8157,-97.0739,2019-06-22,2014-10-31,"WINNIPEG 10.5 SSE, CA"
0.9469,156.4,METERS,GHCND:CA1MB000202,49.8996,-97.1875,2019-06-22,2014-10-31,"WINNIPEG 3.3 W, CA"
0.2123,240.2,METERS,GHCND:CA1MB000214,49.9634,-97.6309,2019-06-22,2015-03-31,"ST FRANCOIS XAVIER 8.7 NW, CA"
0.9498,150.3,METERS,GHCND:CA1MB000222,50.0149,-96.4319,2019-06-22,2015-01-20,"BEAUSEJOUR 7.9 SE MAFRD, CA"
0.2275,153.0,METERS,GHCND:CA1MB000224,49.1335,-96.5601,2019-06-22,2015-03-29,"VITA 0.2 E, CA"
0.8002,151.2,METERS,GHCND:CA1MB000225,49.6661,-99.7098,2019-06-22,2015-01-23,"WAWANESA 8.1 NNW, CA"
0.7752,140.5,METERS,GHCND:CA1MB000231,49.9238,-97.5637,2019-06-22,2015-04-10,"ST FRANCOIS XAVIER 2.2 NW 4H, CA"
0.861,228.9,METERS,GHCND:CA1MB000237,49.8029,-97.2152,2019-06-22,2015-03-29,"WINNIPEG 12.0 SSW, CA"
0.9383,94.5,METERS,GHCND:CA1MB000245,49.2841,-96.5094,2019-06-22,2015-04-21,"ZHODA 2.9 SE SRRCD, CA"
0.1908,305.4,METERS,GHCND:CA1MB000246,49.2342,-96.807,2019-06-22,2015-04-20,"ROSA 3.5 SE SRRCD, CA"
0.9829,152.4,METERS,GHCND:CA1MB000247,49.3594,-97.0515,2019-06-22,2015-04-23,"DUFROST 1.7 WNW SRRCD, CA"
0.5086,148.1,METERS,GHCND:CA1MB000249,49.1222,-97.3475,2019-06-22,2015-05-07,"LETELLIER 3.4 WSW, CA"
0.1687,273.1,METERS,GHCND:CA1MB000251,49.191,-97.9464,2019-06-22,2015-06-02,"WINKLER 1.6 NNW, CA"
0.5167,233.8,METERS,GHCND:CA1MB000252,49.7349,-96.8815,2019-06-22,2015-05-19,"LORETTE 0.7 SW, CA"
0.4771,156.4,METERS,GHCND:CA1MB000264,49.8566,-100.9302,2019-06-22,2015-07-12,"VIRDEN 0.8 W 4H, CA"
0.5108,487.1,METERS,GHCND:CA1MB000265,50.7131,-96.9972,2019-06-22,2015-07-13,"CAMP MORTON 0.4 W, CA"
0.6115,836.4,METERS,GHCND:CA1MB000266,49.6968,-97.2053,2019-06-22,2015-07-15,"LA SALLE 4.3 E 4H, CA"
0.5857,236.5,METERS,GHCND:CA1MB000271,49.1365,-97.2966,2019-06-22,2015-08-23,"LETELLIER 0.6 ENE, CA"
0.3283,235.3,METERS,GHCND:CA1MB000272,49.8775,-97.514,2019-06-22,2015-08-25,"ST FRANCOIS XAVIER 4.1 SSE, CA"
0.7854,157.9,METERS,GHCND:CA1MB000273,49.4074,-98.658,2019-06-22,2015-10-06,"SOMERSET 0.5 S, CA"
0.951,150.6,METERS,GHCND:CA1MB000292,49.8719,-99.9408,2019-06-22,2016-05-26,"BRANDON 3.1 NNE, CA"
0.9492,180.1,METERS,GHCND:CA1MB000296,49.8692,-97.4116,2019-06-22,2016-06-15,"HEADINGLEY 0.6 SW CANWARN, CA"
0.9291,182.0,METERS,GHCND:CA1MB000318,49.3245,-97.175,2019-06-22,2016-08-27,"MORRIS 14.2 ESE, CA"
0.812,150.6,METERS,GHCND:CA1MB000323,49.5388,-96.6787,2019-06-22,2016-11-29,"STEINBACH 1.5 NNE, CA"
0.9574,180.4,METERS,GHCND:CA1MB000346,49.7688,-97.1618,2019-06-22,2017-07-19,"ST GERMAIN SOUTH 2.5 W, CA"
0.9871,164.9,METERS,GHCND:CA1MB000361,49.8968,-97.1408,2019-06-22,2018-06-01,"WINNIPEG 0.3 S, CA"
0.9308,0.0,METERS,GHCND:CA1MB000368,49.7441,-95.1912,2019-06-22,2018-10-06,"WHITESHELL 1.3 NE, CA"
0.9234,68.6,METERS,GHCND:CA1NB000001,45.929,-66.6283,2019-06-22,2013-09-19,"FREDERICTON 4.0 SSE, CA"
0.6222,143.9,METERS,GHCND:CA1NB000002,46.1706,-67.5533,2019-06-22,2013-09-02,"GRAFTON 2.7 NNE, CA"
0.9901,7.9,METERS,GHCND:CA1NB000005,45.5075,-66.0986,2019-06-22,2013-09-01,"OAK POINT 0.9 SSW, CA"
0.9878,33.2,METERS,GHCND:CA1NB000011,46.9934,-65.5069,2019-06-22,2013-11-07,"MIRAMICHI 3.3 S, CA"
0.894,33.2,METERS,GHCND:CA1NB000013,47.6421,-65.6876,2019-06-22,2013-11-05,"BATHURST 3.8 NW, CA"
0.9903,29.9,METERS,GHCND:CA1NB000016,45.8916,-64.5127,2019-06-22,2013-10-28,"DORCHESTER 1.0 SSE, CA"
0.3348,118.3,METERS,GHCND:CA1NB000027,46.2175,-64.8075,2019-06-22,2014-07-06,"IRISHTOWN 3.4 NNW, CA"
0.8552,58.2,METERS,GHCND:CA1NB000028,45.7169,-65.4622,2019-06-22,2014-08-20,"SUSSEX CORNER 1.4 NE KWRC, CA"
0.5984,30.5,METERS,GHCND:CA1NB000032,45.7942,-65.5907,2019-06-22,2014-08-20,"BERWICK 1.7 N KWRC, CA"
0.5912,182.9,METERS,GHCND:CA1NB000038,47.057,-67.7263,2019-06-22,2014-08-22,"GRAND FALLS 2.2 NE, CA"
0.8871,103.9,METERS,GHCND:CA1NB000050,47.908,-66.1328,2019-06-22,2015-03-16,"DOYLEVILLE 2.4 WNW, CA"
0.3863,28.7,METERS,GHCND:CA1NB000051,46.0689,-65.9996,2019-06-22,2015-06-24,"NEWCASTLE BRIDGE 4.1 ESE, CA"
0.8959,52.7,METERS,GHCND:CA1NB000053,45.7093,-64.704,2019-06-22,2015-07-13,"HARVEY 1.9 SSE, CA"
0.9564,41.1,METERS,GHCND:CA1NB000057,45.9608,-64.1885,2019-06-22,2015-11-01,"JOLICURE 2.8 NE, CA"
0.9565,17.7,METERS,GHCND:CA1NB000058,45.9134,-64.3682,2019-06-22,2015-11-22,"SACKVILLE 2.1 N, CA"
0.7011,32.0,METERS,GHCND:CA1NB000060,45.622,-64.7828,2019-06-22,2016-02-01,"WATERSIDE 4.0 E, CA"
0.6218,95.7,METERS,GHCND:CA1NB000064,45.9701,-66.8554,2019-06-22,2016-05-12,"KESWICK RIDGE 4.0 SE, CA"
1.0,3.4,METERS,GHCND:CA1NB000076,46.3418,-64.572,2019-06-22,2018-02-08,"GRANDE DIGUE 5.1 N, CA"
0.8796,185.0,METERS,GHCND:CA1NB000081,46.0148,-66.9094,2019-06-22,2018-07-01,"KESWICK RIDGE 2.5 NW, CA"
0.8936,69.5,METERS,GHCND:CA1NB000084,45.662,-65.7828,2019-06-22,2018-09-14,"NORTON 7.1 WNW KWRC, CA"
0.5879,74.1,METERS,GHCND:CA1NL000014,47.4274,-53.5195,2019-06-22,2013-11-13,"WHITBOURNE 1.4 NE, CA"
0.9527,33.5,METERS,GHCND:CA1NL000017,51.5202,-56.8369,2019-06-22,2013-11-30,"L ANSE AU LOUP 0.7 SSW, CA"
0.876,79.2,METERS,GHCND:CA1NL000050,47.5955,-52.6871,2019-06-22,2013-11-12,"ST. JOHN S 4.3 NNE, CA"
0.8069,36.3,METERS,GHCND:CA1NL000065,48.5544,-58.6185,2019-06-22,2013-10-31,"KIPPENS 0.7 NE, CA"
0.7675,12.5,METERS,GHCND:CA1NL000069,49.244,-55.0648,2019-06-22,2014-11-23,"LEWISPORTE 0.3 SSE NL HAM, CA"
0.9551,154.8,METERS,GHCND:CA1NL000073,47.548,-52.8882,2019-06-22,2015-02-01,"PARADISE 3.0 NW, CA"
0.8508,151.2,METERS,GHCND:CA1NL000079,47.5196,-52.8284,2019-06-22,2017-04-30,"MOUNT PEARL 1.3 WNW, CA"
0.0244,85.6,METERS,GHCND:CA1NL000081,48.9312,-55.6533,2019-06-22,1998-06-17,"GRAND FALLS WINDSOR 1.2 S, CA"
0.8008,72.5,METERS,GHCND:CA1NS000001,44.0632,-64.7146,2019-06-22,2013-11-08,"LIVERPOOL 3.0 N, CA"
0.871,103.3,METERS,GHCND:CA1NS000003,45.0792,-64.2711,2019-06-22,2013-09-13,"WOLFVILLE 7.1 ESE, CA"
0.9374,31.7,METERS,GHCND:CA1NS000004,45.7086,-61.9024,2019-06-22,2013-08-28,"JIMTOWN 0.2 WNW, CA"
0.9835,7.0,METERS,GHCND:CA1NS000006,44.4991,-63.5264,2019-06-22,2013-08-28,"DUNCANS COVE 0.4 ESE, CA"
0.9873,77.4,METERS,GHCND:CA1NS000011,44.7029,-63.5329,2019-06-22,2013-11-19,"DARTMOUTH 5.1 NNE, CA"
0.606,23.2,METERS,GHCND:CA1NS000012,45.7863,-63.6225,2019-06-22,2013-10-31,"PUGWASH JUNCTION 1.5 SE, CA"
0.2606,48.2,METERS,GHCND:CA1NS000013,45.3825,-63.2281,2019-06-22,1998-06-17,"TRURO 5.0 ENE, CA"
0.5987,23.8,METERS,GHCND:CA1NS000015,44.9326,-63.5428,2019-06-22,2013-11-20,"ENFIELD 1.3 SSW, CA"
0.4825,41.8,METERS,GHCND:CA1NS000016,44.6427,-63.6043,2019-06-22,2013-10-11,"HALIFAX 2.4 WSW, CA"
0.9632,128.3,METERS,GHCND:CA1NS000018,44.7518,-63.791,2019-06-22,2013-10-25,"HAMMONDS PLAINS 2.1 NNW, CA"
0.8143,5.8,METERS,GHCND:CA1NS000020,45.0257,-62.0267,2019-06-22,2013-11-15,"SPANISH SHIP BAY 0.6 NE, CA"
0.9676,83.8,METERS,GHCND:CA1NS000023,45.0043,-65.1169,2019-06-22,2013-11-25,"MIDDLETON 7.8 NNW, CA"
0.9381,11.0,METERS,GHCND:CA1NS000026,44.8228,-65.3178,2019-06-22,2013-11-24,"BRIDGETOWN 3.1 WSW, CA"
0.7023,182.9,METERS,GHCND:CA1NS000039,46.2508,-60.6434,2019-06-22,2013-11-02,"ST. ANNS 2.8 NW, CA"
0.8303,80.5,METERS,GHCND:CA1NS000043,44.7292,-63.6752,2019-06-22,2013-11-22,"BEDFORD 0.6 WNW, CA"
0.9089,203.9,METERS,GHCND:CA1NS000045,44.6698,-64.8526,2019-06-22,2013-11-30,"SPRINGFIELD 4.2 NNE, CA"
0.2815,88.7,METERS,GHCND:CA1NS000046,44.7104,-63.7331,2019-06-22,2002-07-25,"HAMMOND PLAINS 2.0 SSE, CA"
0.9261,12.2,METERS,GHCND:CA1NS000053,43.993,-66.1468,2019-06-22,2013-11-05,"PORT MAITLAND 1.2 NNE, CA"
0.3704,155.1,METERS,GHCND:CA1NS000059,44.7045,-64.4566,2019-06-22,2013-11-09,"NEW ROSS 3.7 S, CA"
0.738,9.1,METERS,GHCND:CA1NS000061,46.9162,-60.4946,2019-06-22,2013-10-31,"ASPY BAY 0.9 SW, CA"
0.9678,41.1,METERS,GHCND:CA1NS000062,45.3608,-63.2682,2019-06-22,2013-11-11,"TRURO 1.6 ESE, CA"
0.9674,21.9,METERS,GHCND:CA1NS000063,44.025,-66.103,2019-06-22,2013-11-05,"CEDAR LAKE 1.0 SSW, CA"
0.7694,140.8,METERS,GHCND:CA1NS000068,45.0854,-63.7684,2019-06-22,2013-11-23,"RAWDON GOLD MINES 3.4 N, CA"
0.9558,7.0,METERS,GHCND:CA1NS000069,43.6293,-65.7999,2019-06-22,2013-10-31,"LOWER WEST PUBNICO 0.3 NE, CA"
0.8318,118.9,METERS,GHCND:CA1NS000074,46.1855,-60.7343,2019-06-22,2013-03-17,"BADDECK FORKS 2.5 E, CA"
0.98,9.8,METERS,GHCND:CA1NS000081,45.3147,-64.4289,2019-06-22,2013-11-10,"SCOTS BAY 3.1 WNW, CA"
0.7948,20.7,METERS,GHCND:CA1NS000082,43.7706,-66.112,2019-06-22,2013-11-29,"YARMOUTH 7.4 S, CA"
0.801,5.2,METERS,GHCND:CA1NS000083,44.8307,-65.3266,2019-06-22,2013-12-21,"CENTRELEA 1.2 NNW, CA"
0.7911,33.2,METERS,GHCND:CA1NS000086,45.7699,-64.218,2019-06-22,2014-04-05,"NAPPAN 1.7 E, CA"
0.2088,81.7,METERS,GHCND:CA1NS000092,46.3387,-60.6109,2019-06-22,2014-12-28,"TARBOT 1.3 NE CBN, CA"
0.858,32.0,METERS,GHCND:CA1NS000094,46.3094,-61.076,2019-06-22,2014-12-11,"MARGAREE FORKS 2.6 SSE CBN, CA"
0.9786,182.0,METERS,GHCND:CA1NS000103,45.2622,-62.7229,2019-06-22,2015-10-05,"TRAFALGAR 4.9 WSW, CA"
0.5588,38.4,METERS,GHCND:CA1NS000108,44.7273,-63.2734,2019-06-22,2016-03-02,"WEST CHEZZETCOOK 1.3 NNW, CA"
0.848,23.5,METERS,GHCND:CA1NS000109,44.4899,-66.0908,2019-06-22,2016-04-28,"SANDY COVE 0.2 SW, CA"
0.6277,50.6,METERS,GHCND:CA1NS000110,44.348,-64.4221,2019-06-22,2016-05-10,"UPPER LAHAVE 2.8 SE, CA"
0.2571,7.9,METERS,GHCND:CA1NS000111,45.6229,-62.0017,2019-06-22,2016-06-29,"ANTIGONISH 0.6 WSW, CA"
0.9254,9.1,METERS,GHCND:CA1NS000118,45.7835,-61.9195,2019-06-22,2017-01-06,"CAPE GEORGE 6.6 S, CA"
0.4846,36.9,METERS,GHCND:CA1NS000120,45.6474,-63.9176,2019-06-22,2017-08-09,"COLLINGWOOD CORNER 4.9 NNE, CA"
0.8679,198.7,METERS,GHCND:CA1NS000134,44.6513,-63.5907,2019-06-22,2017-10-18,"HALIFAX 0.9 ENE, CA"
0.7548,4.0,METERS,GHCND:CA1NS000142,44.4514,-64.3753,2019-06-22,2017-11-29,"MAHONE BAY 0.5 NE, CA"
1.0,36.0,METERS,GHCND:CA1NS000151,46.1465,-60.1566,2019-06-22,2018-08-24,"SYDNEY 2.7 NE, CA"
0.9366,206.3,METERS,GHCND:CA1ON000005,44.5784,-80.9546,2019-06-22,2013-09-25,"OWEN SOUND 1.5 NW GSCA, CA"
0.9942,186.2,METERS,GHCND:CA1ON000009,42.2845,-83.0346,2019-06-22,2013-10-07,"WINDSOR 1.7 SE, CA"
0.922,116.7,METERS,GHCND:CA1ON000025,45.255,-75.9105,2019-06-22,2014-01-01,"STITTSVILLE 0.8 SSE MIVCA, CA"
0.9588,243.2,METERS,GHCND:CA1ON000031,42.9542,-81.4349,2019-06-22,2014-02-01,"KOMOKA 2.8 W, CA"
0.9984,162.5,METERS,GHCND:CA1ON000033,43.3713,-79.8355,2019-06-22,2012-08-05,"BURLINGTON 1.7 W, CA"
1.0,100.3,METERS,GHCND:CA1ON000042,45.4899,-74.6457,2019-06-22,2014-05-08,"VANKLEEK HILL 3.4 S, CA"
0.4282,216.1,METERS,GHCND:CA1ON000051,43.1013,-81.9987,2019-06-22,2014-05-07,"FOREST 0.3 NNE, CA"
0.6222,198.1,METERS,GHCND:CA1ON000056,42.4963,-81.8783,2019-06-22,2015-04-02,"RIDGETOWN 6.2 N, CA"
0.1811,407.5,METERS,GHCND:CA1ON000062,43.8761,-80.8059,2019-06-22,1998-06-17,"PALMERSTON 5.8 NE, CA"
0.551,186.5,METERS,GHCND:CA1ON000075,43.3551,-81.7262,2019-06-22,2014-08-02,"DASHWOOD 7.4 W, CA"
0.9318,321.9,METERS,GHCND:CA1ON000086,43.4969,-80.2439,2019-06-22,2014-07-29,"GUELPH 5.1 S CANWARN, CA"
0.8001,70.1,METERS,GHCND:CA1ON000092,45.4232,-76.0453,2019-06-22,2014-07-28,"DUNROBIN 1.9 W MVCA, CA"
0.8445,256.9,METERS,GHCND:CA1ON000096,44.0607,-79.443,2019-06-22,2014-08-20,"NEWMARKET 1.3 ENE AAFC, CA"
0.9971,206.3,METERS,GHCND:CA1ON000103,43.1425,-80.0696,2019-06-22,2014-09-10,"CALEDONIA 12.4 NW, CA"
0.9056,378.6,METERS,GHCND:CA1ON000109,43.9873,-81.1033,2019-06-22,2014-10-01,"MILDMAY 5.9 SSE, CA"
0.8963,338.3,METERS,GHCND:CA1ON000118,44.1653,-80.8206,2019-06-22,2014-10-20,"DURHAM 1.4 S, CA"
0.968,448.4,METERS,GHCND:CA1ON000132,43.8737,-80.1343,2019-06-22,2014-10-09,"ORANGEVILLE 5.1 SSW CANWARN, CA"
0.9423,221.3,METERS,GHCND:CA1ON000153,44.5224,-79.8392,2019-06-22,2015-08-03,"PHELPSTON 0.8 NE, CA"
0.6227,203.0,METERS,GHCND:CA1ON000161,44.1814,-81.6223,2019-06-22,2014-11-13,"KINCARDINE 1.7 NE, CA"
0.1767,183.2,METERS,GHCND:CA1ON000173,42.597,-82.1781,2019-06-22,1998-06-17,"DRESDEN 0.8 NNE, CA"
0.9952,183.2,METERS,GHCND:CA1ON000174,42.293,-81.9734,2019-06-22,2014-12-06,"BLENHEIM 4.9 SSE, CA"
0.9906,205.1,METERS,GHCND:CA1ON000178,43.6465,-81.7074,2019-06-22,2015-02-02,"GODERICH 10.2 S MVCA, CA"
0.6418,331.3,METERS,GHCND:CA1ON000179,43.6513,-81.3607,2019-06-22,2014-12-05,"WALTON 5.8 WSW MVCA, CA"
