finish_date,cal_ref,title,calendar_name,finish_id,read_instance,is_reread,previous_finish_date,days_since_previous_finish
2024-10-24,the doomsday machine,The Doomsday Machine,Things,finish_0124,1,False,,
2024-10-25,into the aquarium,into the aquarium,Things,finish_0125,1,False,,
2024-10-30,how to fail at almost everything and still win big,How to Fail at Almost Everything and Still Win Big,Things,finish_0126,1,False,,
2024-11-08,iiatt,IMPRO Improvisation and the Theatre,Things,finish_0128,1,False,,
2024-11-08,metropolis man,metropolis man,Things,finish_0127,1,False,,
2024-11-16,downfall,Downfall,Things,finish_0129,1,False,,
2024-11-21,designing machine learning systems,Designing Machine Learning Systems,clark.benham@gmail.com,finish_0130,1,False,,
2024-11-28,declare,"Declare_ A novel - Powers, Tim.pdf",Things,finish_0131,1,False,,
2024-12-11,htwww,how the war was won,Things,finish_0132,1,False,,
2024-12-12,machine learning engineering,machine learning engineering,clark.benham@gmail.com,finish_0133,1,False,,
2024-12-17,nonviolent communication,nonviolent communication,Things,finish_0134,1,False,,
2024-12-19,the art of military innovation,the art of military innovation,Things,finish_0135,1,False,,
2024-12-23,Kipling by Harold bloom,Kipling by Harold Bloom,Things,finish_0136,1,False,,
2025-01-01,Ms Dalloway,Ms Dalloway,Things,finish_0137,1,False,,
2025-01-01,Apollo,Apollo: The Race to the Moon,Things,finish_0138,1,False,,
2025-01-09,best of Isaac Asimov,best of isaac asimov,Things,finish_0139,1,False,,
2025-01-14,parkinson's law,parkinson's law,Things,finish_0140,1,False,,
2025-01-15,how to succeed at business without really trying,how to succeed at business without really trying,Things,finish_0141,1,False,,
2025-01-21,life and fate,Life and Fate,Things,finish_0142,1,False,,
2025-01-27,Monday starts on Saturday,Monday Starts on Saturday,Things,finish_0143,1,False,,
2025-01-28,Kelly my share of it all,Kelly my share of it all,Things,finish_0144,1,False,,
2025-01-31,atomic habits,Atomic Habits,Things,finish_0145,1,False,,
2025-02-02,rlhf,rlhf,clark.benham@gmail.com,finish_0146,1,False,,
2025-02-08,micro-services,micro-services,Things,finish_0147,1,False,,
2025-02-19,the mind body prescription,the mind body prescription,Things,finish_0148,1,False,,
2025-03-05,screwtape letters,screwtape letters,Things,finish_0149,3,True,2023-05-02,673.0
2025-03-05,the great divorce,The great divorce,Things,finish_0150,2,True,2022-04-26,1044.0
2025-03-20,the pale king,the pale king,Things,finish_0151,1,False,,
2025-03-22,the Oxford book of essays,the Oxford book of essays,Things,finish_0152,1,False,,
2025-03-22,12 rules for life,12 rules for life,Things,finish_0153,1,False,,
2025-03-30,the pentagon wars,the pentagon wars,Things,finish_0154,1,False,,
2025-04-17,you just dont understand,you just dont understand,Things,finish_0155,1,False,,
2025-04-18,on China,on China,Things,finish_0156,1,False,,
2025-05-04,The Path to Power: The Years of Lyndon Johnson I,The Path to Power: The Years of Lyndon Johnson I,Things,finish_0157,1,False,,
2025-05-07,means of ascent,means of ascent,Things,finish_0158,1,False,,
2025-05-11,man’s search for meaning,man’s search for meaning,Things,finish_0159,1,False,,
2025-05-19,master of the senate,master of the senate,Things,finish_0160,1,False,,
2025-05-27,the passage of power,the passage of power,Things,finish_0161,1,False,,
2025-06-02,the Evelyn wood seven day speed reading and learning program,the Evelyn wood seven day speed reading and learning program,Things,finish_0162,1,False,,
2025-06-10,racing for the bomb,racing for the bomb,Things,finish_0163,1,False,,
2025-06-11,Kissinger,Kissinger,Things,finish_0164,1,False,,
2025-06-17,bureaucracy,bureaucracy,Things,finish_0165,1,False,,
2025-06-19,theory and practice of gamesmanship,theory and practice of gamesmanship,Waste Time,finish_0166,1,False,,
2025-06-24,the making of the atomic bomb,the making of the atomic bomb,Things,finish_0167,1,False,,
2025-06-29,how to improve your marriage without talking about it,how to improve your marriage without talking about it,Things,finish_0168,1,False,,
2025-07-05,dark sun,dark sun,Things,finish_0169,1,False,,
2025-07-09,mathematics for machine learning,Mathematics for Machine Learning,clark.benham@gmail.com,finish_0170,1,False,,
2025-07-12,selfish reasons to have more kids,selfish reasons to have more kids,Things,finish_0171,1,False,,
2025-07-15,reading asme y14.41,reading asme y14.41,Things,finish_0172,1,False,,
2025-07-28,blueprint reading: construction drawings for the building trade,blueprint reading: construction drawings for the building trade,Things,finish_0173,1,False,,
2025-07-28,failure is not an option,failure is not an option,Things,finish_0174,1,False,,
2025-07-28,the high crusade,the high crusade,Things,finish_0175,1,False,,
2025-08-01,age of ambition,age of ambition,Things,finish_0176,1,False,,
2025-08-10,Apple in China,Apple in China,Things,finish_0177,1,False,,
2025-08-14,tpv,the price of victory,Things,finish_0178,1,False,,
2025-09-01,Everyman for himself and god against all,Everyman for himself and god against all,Things,finish_0179,1,False,,
2025-09-11,Richard Nixon the Life,Richard Nixon the Life,Things,finish_0180,1,False,,
2025-09-13,humor and the presidency,humor and the presidency,Waste Time,finish_0181,1,False,,
2025-09-22,day of the jackal,day of the jackal,Things,finish_0183,1,False,,
2025-09-22,high intensity training the mike mentzer way,high intensity training the mike mentzer way,Things,finish_0182,1,False,,
2025-09-30,autobiography of Ben Franklin,Autobiography of Ben Franklin,Things,finish_0184,3,True,2023-05-20,864.0
2025-10-04,Buckley,Buckley,Things,finish_0185,1,False,,
2025-10-09,dfw tv,DFW_TV.pdf,Things,finish_0186,1,False,,
2025-10-14,my early life,my early life,Things,finish_0187,1,False,,
2025-10-21,the second world war,the second world war,Things,finish_0188,1,False,,
2025-10-24,six crises,six crises,Things,finish_0189,1,False,,
2025-10-25,good old neon,Good Old Neon,Things,finish_0190,1,False,,
2025-11-03,thoughts and adventures,thoughts and adventures,Things,finish_0191,1,False,,
2025-11-09,revolt in the desert,revolt in the desert,Things,finish_0192,1,False,,
2025-11-12,and call me conrad,and call me conrad,Things,finish_0193,1,False,,
2025-11-15,way station,way station,Things,finish_0194,1,False,,
2025-12-04,the power broker,the power broker,Things,finish_0195,1,False,,
2025-12-05,Shape Up Stop Running in Circles and Ship Work that Matters,Shape Up Stop Running in Circles and Ship Work that Matters,Things,finish_0196,1,False,,
2025-12-08,to say nothing of the dog,to say nothing of the dog,Things,finish_0197,1,False,,
2025-12-15,art and fear,art and fear,Things,finish_0198,1,False,,
2025-12-27,the world crisis,the world crisis,Things,finish_0199,1,False,,
2026-01-03,the world crisis volume 2,the world crisis volume 2,Things,finish_0200,1,False,,
2026-01-07,the world crisis vol 3,the world crisis vol 3,Things,finish_0201,1,False,,
2026-01-10,the world crisis volume 4,the world crisis volume 4,Things,finish_0202,1,False,,
2026-01-11,the history of the English speaking peoples volume 4,the history of the English speaking peoples volume 4,Things,finish_0203,1,False,,
2026-01-13,going postal,going postal,Things,finish_0204,1,False,,
2026-01-18,now it can be told,Now It Can Be Told,Things,finish_0205,1,False,,
2026-01-19,Churchill's wit the definitive collection,Churchill's wit the definitive collection,Things,finish_0206,1,False,,
2026-01-24,it's better to be feared,it's better to be feared,Things,finish_0207,1,False,,
2026-01-29,the effective executive,the effective executive,Things,finish_0208,1,False,,
2026-02-01,the best and brightest,the best and brightest,Things,finish_0209,1,False,,
2026-02-07,good omens,good omens,Things,finish_0210,1,False,,
2026-02-09,prime movers of globalization,prime movers of globalization,Things,finish_0211,1,False,,
2026-02-11,shoe dog,shoe dog,Things,finish_0212,1,False,,
2026-02-13,the billionaire and the mechanic,the billionaire and the mechanic,Things,finish_0213,1,False,,
2026-02-19,the parable of rust a novella,the parable of rust a novella,Things,finish_0214,1,False,,
2026-02-25,memos from the chairman,memos from the chairman,Things,finish_0215,1,False,,
2026-03-05,night watch,night watch,Things,finish_0216,1,False,,
2026-03-09,Hyperion,[Hyperion 1] Dan Simmons - Hyperion-Saga 1_ Hyperion (1990) - libgen.li.pdf,Things,finish_0217,1,False,,
2026-03-11,fall of Hyperion,fall of Hyperion,Things,finish_0218,1,False,,
2026-03-26,thoughts and adventures,thoughts and adventures,Things,finish_0219,2,True,2025-11-03,143.0
2026-03-29,my early life,my early life,Things,finish_0220,2,True,2025-10-14,166.0
2026-04-18,surely you’re joking Feynman,surely you're joking Feynman,Things,finish_0221,2,True,2023-02-28,1145.0
2026-04-23,Churchill walking with destiny,Churchill: Walking with Destiny,Things,finish_0222,1,False,,
2026-05-06,churchill the power of words,Churchill the power of words,Things,finish_0223,1,False,,
2026-05-12,the Nvidia way,the nvidia way,Things,finish_0224,1,False,,
2026-05-14,managing the professional services firm,managing the professional services firm,Things,finish_0225,1,False,,
