date,summary,part_summary,event_type,book_ref,is_audiobook_time,title,matched_finish_date,calendar_analysis_minutes,wall_clock_minutes,wall_minus_calendar_minutes,overlap_total_minutes,overlap_longest_minutes,overlap_policy_minutes,policy_restored_minutes,overlap_policy_rule,overlap_other_events,overlap_other_calendars
2022-12-31,book:de,book:de,reading,de,False,deaths end,2023-01-01,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,travel,Things
2023-12-23,Finished book: the abolition of man,Finished book: the abolition of man,finished,the abolition of man,False,the abolition of man,2023-12-23,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,Travel,Things
2024-03-08,Book:jto,Book:jto,reading,jto,False,Jude the Obscure,2024-03-08,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,Travel,Things
2025-03-13,audiobook: its not luck,audiobook: its not luck,audiobook,its not luck,True,,,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,Drive to Indian wells,Things
2025-12-06,Audiobook: the great democracies,Audiobook: the great democracies,audiobook,the great democracies,True,the history of the English speaking peoples volume 4,2026-01-11,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,Walk,Things
2026-04-09,Audiobook: syjf,Audiobook: syjf,audiobook,syjf,True,surely you’re joking Feynman,2026-04-19,52.5,105.0,52.5,105.0,105.0,105.0,52.5,full_duration_overlap_gt_15m,Walk,Things
2026-04-10,Book:cwwd,Book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,187.5,240.0,52.5,105.0,105.0,240.0,52.5,full_duration_overlap_gt_15m,Ai history,Things
2022-01-05,Book:dswn,Book:dswn,reading,dswn,False,,,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,airplane to SFO,Things
2025-03-22,Finished book: the Oxford book of essays,Finished book: the Oxford book of essays,finished,the Oxford book of essays,False,the Oxford book of essays,2025-03-22,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,Lie in sun,Things
2025-05-18,Audiobook: mots,Audiobook: mots,audiobook,mots,True,master of the senate,2025-05-19,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,Walk,Things
2025-12-04,Finished Audiobook: the power broker,Finished Audiobook: the power broker,finished,the power broker,True,the power broker,2025-12-04,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,Walk,Things
2025-12-08,Book:tsnotd,Book:tsnotd,reading,tsnotd,False,to say nothing of the dog,2025-12-08,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,sleep,"Meals, Supplements, Sleep"
2026-01-14,Audiobook: the age of revolution,Audiobook: the age of revolution,audiobook,the age of revolution,True,,,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,Walk,Things
2026-04-21,Book:cwwd,Book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,45.0,90.0,45.0,90.0,90.0,90.0,45.0,full_duration_overlap_gt_15m,sleep,"Meals, Supplements, Sleep"
2022-12-25,book:ttbp,book:ttbp,reading,ttbp,False,The Three-Body Problem,2022-12-26,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,airplane,Things
2025-10-07,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,Walk,Things
2025-10-31,audiobook: tpb,audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,Amelia: Chores,Things
2025-11-02,audiobook: tpb,audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,Amelia,Things
2025-11-20,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,Walk,Things
2026-05-06,Audiobook: tnw,Audiobook: tnw,audiobook,tnw,True,the nvidia way,2026-05-13,37.5,75.0,37.5,75.0,75.0,75.0,37.5,full_duration_overlap_gt_15m,Walk,Things
2022-02-13,Book:Dune,Book:Dune,reading,Dune,False,Dune,2022-02-16,345.0,375.0,30.0,60.0,30.0,375.0,30.0,full_duration_overlap_gt_15m,laundry | dinner,"Meals, Supplements, Sleep | Things"
2022-02-18,book:dm,book:dm,reading,dm,False,Dune Messiah,2022-02-19,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2023-01-01,finished book: deaths end,finished book: deaths end,finished,deaths end,False,deaths end,2023-01-01,75.0,105.0,30.0,60.0,60.0,105.0,30.0,full_duration_overlap_gt_15m,travel,Things
2024-03-08,Finished book: Jude the obscure,Finished book: Jude the obscure,finished,Jude the obscure,False,Jude the Obscure,2024-03-08,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Travel,Things
2024-06-15,Book:5ebgo,Book:5ebgo,reading,5ebgo,False,50 essays by george orwell,2024-06-19,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Amelia,Things
2024-06-16,Book:5ebgo,Book:5ebgo,reading,5ebgo,False,50 essays by george orwell,2024-06-19,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Amelia,Things
2024-12-29,book:md,book:md,reading,md,False,Ms Dalloway,2025-01-01,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,sleep,"Meals, Supplements, Sleep"
2025-01-20,Book:laf,Book:laf,reading,laf,False,Life and Fate,2025-01-22,90.0,120.0,30.0,60.0,60.0,120.0,30.0,full_duration_overlap_gt_15m,Sun,Things
2025-02-14,book:ri,book:ri,reading,ri,False,,,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Spa,Things
2025-03-18,audiobook: it's not luck,audiobook: it's not luck,audiobook,it's not luck,True,,,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2025-04-05,audiobook: lyndon johnson the path to power,audiobook: lyndon johnson the path to power,audiobook,The Path to Power: The Years of Lyndon Johnson I,True,The Path to Power: The Years of Lyndon Johnson I,2025-05-04,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,drive to ojai,Things
2025-05-15,Audiobook: mots,Audiobook: mots,audiobook,mots,True,master of the senate,2025-05-19,30.0,60.0,30.0,60.0,30.0,60.0,30.0,full_duration_overlap_gt_15m,gym | Walk,"Meals, Supplements, Sleep | Things"
2025-05-18,Audiobook: mots,Audiobook: mots,audiobook,mots,True,master of the senate,2025-05-19,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2025-07-12,Audio book:  tpb,Audio book:  tpb,audiobook,tpb,True,the power broker,2025-12-04,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2025-08-02,finished book: age of ambition,finished book: age of ambition,finished,age of ambition,False,age of ambition,2025-08-02,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,China trip,Things
2025-10-26,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2025-10-31,audiobook: tpb,audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Amelia chores,Things
2025-11-14,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,30.0,60.0,30.0,60.0,45.0,60.0,30.0,full_duration_overlap_gt_15m,gym | Dinner,"Meals, Supplements, Sleep"
2025-11-23,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Toil: fix bike,Things
2025-12-16,Audiobook: the world crisis,Audiobook: the world crisis,audiobook,the world crisis,True,the world crisis,2025-12-27,30.0,60.0,30.0,60.0,35.0,60.0,30.0,full_duration_overlap_gt_15m,Gym | Toil: desk | laundry,"Meals, Supplements, Sleep | Things"
2026-01-06,book:twc,book:twc,reading,the world crisis volume 3,False,the world crisis vol 3,2026-01-07,60.0,90.0,30.0,60.0,60.0,90.0,30.0,full_duration_overlap_gt_15m,stall,Waste Time
2026-01-11,Finished audiobook: the history of the English speaking peoples volume 4,Finished audiobook: the history of the English speaking peoples volume 4,finished,the history of the English speaking peoples volume 4,True,the history of the English speaking peoples volume 4,2026-01-11,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2026-01-12,Audiobook: nicbt,Audiobook: nicbt,audiobook,nicbt,True,Now It Can Be Told,2026-01-19,30.0,60.0,30.0,60.0,45.0,60.0,30.0,full_duration_overlap_gt_15m,Walk | 1 cocktail,Things | Waste Time
2026-04-06,audiobook: sam walton made in america,audiobook: sam walton made in america,audiobook,sam walton made in america,True,,,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,walk,Things
2026-04-19,Finished audiobook: surely you’re joking Feynman,Finished audiobook: surely you’re joking Feynman,finished,surely you’re joking Feynman,True,surely you’re joking Feynman,2026-04-19,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2026-04-26,started audiobook: the nvidia way,started audiobook: the nvidia way,started,the nvidia way,True,the nvidia way,2026-05-13,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,walk,Things
2026-05-14,Audiobook: iaa,Audiobook: iaa,audiobook,iaa,True,,,30.0,60.0,30.0,60.0,60.0,60.0,30.0,full_duration_overlap_gt_15m,Walk,Things
2021-06-29,read: Chekhov,read: Chekhov,reading,Chekhov,False,,,20.0,45.0,25.0,45.0,45.0,45.0,25.0,full_duration_overlap_gt_15m,Job: Hive | dinner (fake; use takeout data from 7 | 13),"Meals, Supplements, Sleep | clark.benham@gmail.com"
2022-02-19,book:dm,book:dm,reading,dm,False,Dune Messiah,2022-02-19,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2022-03-03,read: Kipling,read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2022-12-24,book:ttbp,book:ttbp,reading,ttbp,False,The Three-Body Problem,2022-12-26,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,airplane,Things
2023-02-20,Read: Kipling,Read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,ml matrix mult,clark.benham@gmail.com
2024-10-09,Book:biwhm,Book:biwhm,reading,biwhm,False,Brief Interviews with Hideous Men,2024-10-09,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Spa,Things
2025-05-14,Audiobook: mots,Audiobook: mots,audiobook,mots,True,master of the senate,2025-05-19,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,gym,"Meals, Supplements, Sleep"
2025-09-29,Audio book: tpb,Audio book: tpb,audiobook,tpb,True,the power broker,2025-12-04,52.5,75.0,22.5,45.0,45.0,75.0,22.5,full_duration_overlap_gt_15m,Walk,Things
2025-11-11,audiobook: tab,audiobook: tab,audiobook,tab,True,,,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,walk,Things
2025-12-02,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,gym,"Meals, Supplements, Sleep"
2025-12-05,book:vc,book:vc,reading,vc,False,,,37.5,60.0,22.5,45.0,45.0,60.0,22.5,full_duration_overlap_gt_15m,job: diesl,clark.benham@gmail.com
2026-01-07,Finished book: the world crisis vol 3,Finished book: the world crisis vol 3,finished,the world crisis vol 3,False,the world crisis vol 3,2026-01-07,37.5,60.0,22.5,45.0,45.0,60.0,22.5,full_duration_overlap_gt_15m,gym,"Meals, Supplements, Sleep"
2026-01-12,Audiobook: nicbt,Audiobook: nicbt,audiobook,nicbt,True,Now It Can Be Told,2026-01-19,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Walk,Things
2026-01-19,Audiobook: surely you’re joking Mr Feynman,Audiobook: surely you’re joking Mr Feynman,audiobook,surely you’re joking Mr Feynman,True,surely you’re joking Feynman,2026-04-19,67.5,90.0,22.5,45.0,45.0,90.0,22.5,full_duration_overlap_gt_15m,Gym,"Meals, Supplements, Sleep"
2026-02-13,Listen speeches,Listen speeches,audiobook,speeches,True,,,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Walk,Things
2026-04-07,book:cwwd,book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,97.5,120.0,22.5,45.0,45.0,120.0,22.5,full_duration_overlap_gt_15m,book sim,clark.benham@gmail.com
2026-04-09,book:cwwd,book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,97.5,120.0,22.5,45.0,45.0,120.0,22.5,full_duration_overlap_gt_15m,history qs,Things
2026-04-12,Audiobook: syjf,Audiobook: syjf,audiobook,syjf,True,surely you’re joking Feynman,2026-04-19,22.5,45.0,22.5,45.0,30.0,45.0,22.5,full_duration_overlap_gt_15m,gym | Walk,"Meals, Supplements, Sleep | Things"
2026-04-20,Book:cwwd,Book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,142.5,165.0,22.5,45.0,30.0,165.0,22.5,full_duration_overlap_gt_15m,lunch | snack,"Meals, Supplements, Sleep"
2026-04-23,audiobook: ootc ,audiobook: ootc,audiobook,ootc,True,,,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,walk,Things
2026-04-24,Book:cwwd,Book:cwwd,reading,cwwd,False,Churchill: Walking with Destiny,2026-04-24,217.5,240.0,22.5,45.0,30.0,240.0,22.5,full_duration_overlap_gt_15m,Amelia | Dinner,"Meals, Supplements, Sleep | Things"
2026-05-13,Started Audiobook: Iacocca an autobiography,Started Audiobook: Iacocca an autobiography,started,Iacocca an autobiography,True,,,22.5,45.0,22.5,45.0,45.0,45.0,22.5,full_duration_overlap_gt_15m,Cook,Things
2026-02-01,Book:tbab,Book:tbab,reading,tbab,False,the best and brightest,2026-02-02,9.999999999999996,30.0,20.000000000000004,30.0,30.0,30.0,20.000000000000004,full_duration_overlap_gt_15m,Amelia | Beach,Things
2024-08-13,book:bm,book:bm,reading,bm,False,,,12.683333333333334,30.0,17.316666666666666,30.0,23.9,30.0,17.316666666666666,full_duration_overlap_gt_15m,Travel to AMC Bay Street 16 | Deadpool & Wolverine at AMC Bay Street 16,Things | Waste Time
2021-06-29,read: Chekhov,read: Chekhov,reading,Chekhov,False,,,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2021-11-18,read: Conrad,read: Conrad,reading,Conrad,False,and call me conrad,2025-11-13,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2022-03-03,Read: Kipling,Read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2022-04-14,read: Kipling,read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,60.0,75.0,15.0,30.0,30.0,75.0,15.0,full_duration_overlap_gt_15m,porn,Waste Time
2022-09-22,finished: Deep Learning by Goodfellow et all,finished: Deep Learning by Goodfellow et all,finished,Deep Learning by Goodfellow et all,False,Deep Learning by Goodfellow et all,2022-09-22,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2022-12-02,book:ptaesp,book:ptaesp,reading,ptaesp,False,ptaesp,2022-12-03,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2023-01-04,book:nf,book:nf,reading,nf,False,Never Finished,2023-01-12,135.0,150.0,15.0,30.0,30.0,150.0,15.0,full_duration_overlap_gt_15m,dinner,"Meals, Supplements, Sleep"
2023-01-11,book:nf,book:nf,reading,nf,False,Never Finished,2023-01-12,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Job: Hive,clark.benham@gmail.com
2023-03-13,read: Kipling,read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,travel,Things
2023-08-05,finished book: Essays to do good,finished book: Essays to do good,finished,Essays to do good,False,Essays to Do Good,2023-08-05,45.0,60.0,15.0,30.0,15.0,60.0,15.0,full_duration_overlap_gt_15m,purge | tug | Jack,Waste Time
2023-08-29,Finished book: The Peace War,Finished book: The Peace War,finished,The Peace War,False,The Peace War,2023-08-29,240.0,255.0,15.0,30.0,15.0,255.0,15.0,full_duration_overlap_gt_15m,Jack | Food,"Meals, Supplements, Sleep | Waste Time"
2023-10-10,Book:ladr,Book:ladr,reading,ladr,False,,,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,sleep,"Meals, Supplements, Sleep"
2023-12-14,Book:ths,Book:ths,reading,ths,False,that hideous strength,2023-12-14,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Flight,Things
2023-12-28,Read: Kipling,Read: Kipling,reading,Kipling,False,Kipling by Harold bloom,2024-12-23,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Turkish air,Things
2024-02-23,Book:htwfaip,Book:htwfaip,reading,htwfaip,False,how to win friends and influence people,2024-02-24,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Travel,Things
2024-06-01,Book:cp,Book:cp,reading,cp,False,consider phlebas,2024-06-04,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Flight: SFO to PVU,Things
2024-08-09,book:toboss,book:toboss,reading,toboss,False,The Oxford Book of Short Stories,2024-09-14,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,airport,Things
2024-10-31,Finished book: how to fail at almost everything and still win big,Finished book: how to fail at almost everything and still win big,finished,how to fail at almost everything and still win big,False,How to Fail at Almost Everything and Still Win Big,2024-10-31,90.0,105.0,15.0,30.0,30.0,105.0,15.0,full_duration_overlap_gt_15m,Dinner,"Meals, Supplements, Sleep"
2025-01-26,book:msos,book:msos,reading,msos,False,Monday Starts on Saturday,2025-01-27,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Spa,Things
2025-02-22,Book:toboss,Book:toboss,reading,toboss,False,,,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Amelia cuddle,Things
2025-05-20,Book:sim,Book:sim,reading,sim,False,,,225.0,240.0,15.0,30.0,30.0,240.0,15.0,full_duration_overlap_gt_15m,Dinner,"Meals, Supplements, Sleep"
2025-06-20,Finished book: theory and practice of gamesmanship,Finished book: theory and practice of gamesmanship,finished,theory and practice of gamesmanship,False,theory and practice of gamesmanship,2025-06-20,75.0,90.0,15.0,30.0,30.0,90.0,15.0,full_duration_overlap_gt_15m,Amelia,Things
2025-07-09,book:ay,book:ay,reading,ay,False,,,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,sleep,"Meals, Supplements, Sleep"
2025-07-11,book:finao,book:finao,reading,finao,False,failure is not an option,2025-07-28,90.0,105.0,15.0,30.0,15.0,105.0,15.0,full_duration_overlap_gt_15m,failed sleep | food,"Meals, Supplements, Sleep"
2025-08-13,Book:tpv,Book:tpv,reading,tpv,False,the price of victory,2025-08-14,285.0,300.0,15.0,30.0,30.0,300.0,15.0,full_duration_overlap_gt_15m,Dinner,"Meals, Supplements, Sleep"
2025-10-02,book:Buckley,book:Buckley,reading,Buckley,False,Buckley,2025-10-04,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,job: diesl,clark.benham@gmail.com
2025-10-19,Book:tsww,Book:tsww,reading,tsww,False,the second world war,2025-10-21,165.0,180.0,15.0,30.0,15.0,180.0,15.0,full_duration_overlap_gt_15m,lunch | Jack,"Meals, Supplements, Sleep | Waste Time"
2025-11-13,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Walk,Things
2025-11-15,Audiobook: tpb,Audiobook: tpb,audiobook,tpb,True,the power broker,2025-12-04,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Laundry,Things
2025-12-05,finished book: shaping up,finished book: shaping up,finished,Shape Up Stop Running in Circles and Ship Work that Matters,False,Shape Up Stop Running in Circles and Ship Work that Matters,2025-12-05,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,job: diesl,clark.benham@gmail.com
2025-12-13,audiobook: tgd,audiobook: tgd,audiobook,tgd,True,the history of the English speaking peoples volume 4,2026-01-11,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Birthday 10K - Santa Monica-Venice Christmas Run,clark.benham@gmail.com
2025-12-16,Audiobook: tgd,Audiobook: tgd,audiobook,tgd,True,the history of the English speaking peoples volume 4,2026-01-11,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Gym,"Meals, Supplements, Sleep"
2025-12-20,Read Old screenshots,Read Old screenshots,reading,Old screenshots,False,,,75.0,90.0,15.0,30.0,30.0,90.0,15.0,full_duration_overlap_gt_15m,breakfast,"Meals, Supplements, Sleep"
2026-01-11,Audiobook: tef,Audiobook: tef,audiobook,tef,True,,,30.0,45.0,15.0,30.0,30.0,45.0,15.0,full_duration_overlap_gt_15m,Walk,Things
2026-01-11,Audiobook: the creative act,Audiobook: the creative act,audiobook,the creative act,True,,,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Walk,Things
2026-01-15,Audiobook: nicbt,Audiobook: nicbt,audiobook,nicbt,True,Now It Can Be Told,2026-01-19,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Walk,Things
2026-01-16,Audiobook: nicbt,Audiobook: nicbt,audiobook,nicbt,True,Now It Can Be Told,2026-01-19,45.0,60.0,15.0,30.0,30.0,60.0,15.0,full_duration_overlap_gt_15m,Purge,Waste Time
2026-01-23,audiobook: tee,audiobook: tee,audiobook,tee,True,the effective executive,2026-01-29,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Take transit from Your location to 10800 Rose Ave,Things
2026-01-29,finished audiobook: the effective executive,finished audiobook: the effective executive,finished,the effective executive,True,the effective executive,2026-01-29,15.0,30.0,15.0,30.0,30.0,30.0,15.0,full_duration_overlap_gt_15m,Travel to wework,Things
