title,category,read_year,link,trueEnjoy,grRating,ridge_full_enjoy,rf_enjoy,gbm_enjoy,heuristic_sum
"Pirate Freedom",General Reading,2012,https://www.goodreads.com/review/show/369834195?utm_medium=api&utm_source=rss,3,3.7,3.219653271849872,3.1058996741370155,2.6920097982944986,3.7
"Star Wars: Before the Storm (The Black Fleet Crisis, #1)",General Reading,2020,https://www.goodreads.com/review/show/370976906?utm_medium=api&utm_source=rss,3,3.42,2.9546134947955323,2.847226251055127,2.6652901079298643,3.42
"More Poems",General Reading,2015,https://www.goodreads.com/review/show/372533317?utm_medium=api&utm_source=rss,3,4.15,3.645610056401488,3.2800756050654156,2.6440748476244127,4.15
"The Fountain",General Reading,2014,https://www.goodreads.com/review/show/1057777731?utm_medium=api&utm_source=rss,2,3,2.557053829214024,2.8606176201027456,2.6652901079298643,3
"The Complete Poems",General Reading,2017,https://www.goodreads.com/review/show/1825100933?utm_medium=api&utm_source=rss,1,4.21,3.702404294341702,3.4095684461202582,2.895634800768575,4.21
"Bitter Seeds (The Milkweed Triptych, #1)",General Reading,2013,https://www.goodreads.com/review/show/536251176?utm_medium=api&utm_source=rss,3,3.74,3.2575160971433488,3.133739167413593,2.9420243767299623,3.74
"Newton and the Counterfeiter: The Unknown Detective Career of the World's Greatest Scientist",General Reading,2014,https://www.goodreads.com/review/show/372217592?utm_medium=api&utm_source=rss,3,3.76,3.2764475097900863,3.143957952431198,2.9420243767299623,3.76
"Spice & Wolf, Vol. 01",General Reading,2013,https://www.goodreads.com/review/show/680374249?utm_medium=api&utm_source=rss,3,4.17,3.6645414690482254,3.2943931354785496,2.6440748476244127,4.17
"Silicon Snake Oil: Second Thoughts on the Information Highway",General Reading,2020,https://www.goodreads.com/review/show/371323710?utm_medium=api&utm_source=rss,3,3.34,2.878887844208579,2.85243458438846,2.6652901079298643,3.34
"Chinese History in Economic Perspective (Volume 13) (Studies on China)",General Reading,2012,https://www.goodreads.com/review/show/386937322?utm_medium=api&utm_source=rss,3,3,2.557053829214024,2.8606176201027456,2.6652901079298643,3
"Portfolios of the Poor: How the World's Poor Live on $2 a Day",General Reading,2012,https://www.goodreads.com/review/show/370561955?utm_medium=api&utm_source=rss,3,3.94,3.4468302236107324,3.167391229562459,2.645010657526909,3.94
"Structural Equation Modeling: A Bayesian Approach (Wiley Series in Probability and Statistics)",General Reading,2015,https://www.goodreads.com/review/show/1379457190?utm_medium=api&utm_source=rss,3,3,2.557053829214024,2.8606176201027456,2.6652901079298643,3
"Memoirs Found in a Bathtub",General Reading,2016,https://www.goodreads.com/review/show/371601851?utm_medium=api&utm_source=rss,3,3.8,3.314310335083564,3.15597753343254,2.82691905075889,3.8
"Puzzles of the Black Widowers (The Black Widowers, #5)",General Reading,2015,https://www.goodreads.com/review/show/1323925255?utm_medium=api&utm_source=rss,2,3.97,3.475227342580841,3.134045811789025,2.5386562938085575,3.97
"Star Maker",General Reading,2020,https://www.goodreads.com/review/show/378953642?utm_medium=api&utm_source=rss,5,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"Being Wrong: Adventures in the Margin of Error",General Reading,2020,https://www.goodreads.com/review/show/645775331?utm_medium=api&utm_source=rss,3,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"The True Believer: Thoughts on the Nature of Mass Movements",General Reading,2020,https://www.goodreads.com/review/show/370558611?utm_medium=api&utm_source=rss,4,4.18,3.6740071753715946,3.2943931354785496,2.6440748476244127,4.18
"Friendship is Optimal",General Reading,2020,https://www.goodreads.com/review/show/464261897?utm_medium=api&utm_source=rss,4,4.14,3.636144350078118,3.2468061167187683,2.5515307663290194,4.14
"The Great Gatsby",General Reading,2015,https://www.goodreads.com/review/show/369880911?utm_medium=api&utm_source=rss,4,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"The Thousand Autumns of Jacob de Zoet",General Reading,2018,https://www.goodreads.com/review/show/369971504?utm_medium=api&utm_source=rss,5,4.01,3.5130901678743176,3.130877929761123,2.57426083774174,4.01
"Declare",General Reading,2013,https://www.goodreads.com/review/show/370143889?utm_medium=api&utm_source=rss,4,4.03,3.532021580521057,3.130877929761123,2.57426083774174,4.03
"The Japanese Family Storehouse: Or the Millionaire's Gospel Modernised",General Reading,2018,https://www.goodreads.com/review/show/2445772856?utm_medium=api&utm_source=rss,3,4.18,3.6740071753715946,3.2943931354785496,2.6440748476244127,4.18
"Clever Hans (The horse of Mr. Von Osten): A contribution to experimental animal and human psychology",General Reading,2017,https://www.goodreads.com/review/show/1798234899?utm_medium=api&utm_source=rss,3,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream",General Reading,2014,https://www.goodreads.com/review/show/369880530?utm_medium=api&utm_source=rss,3,4.07,3.5698844058145327,3.280851700523182,2.7622671254511912,4.07
"Daemon (Daemon, #1)",General Reading,2013,https://www.goodreads.com/review/show/572696883?utm_medium=api&utm_source=rss,3,4.17,3.6645414690482254,3.2943931354785496,2.6440748476244127,4.17
"Fascinating Mathematical People: Interviews and Memoirs",General Reading,2014,https://www.goodreads.com/review/show/1082038804?utm_medium=api&utm_source=rss,2,3.71,3.2291189781732403,3.1180525219192736,2.6920097982944986,3.71
"Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace",General Reading,2015,https://www.goodreads.com/review/show/1391170585?utm_medium=api&utm_source=rss,3,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"No Country for Old Men",General Reading,2012,https://www.goodreads.com/review/show/369879483?utm_medium=api&utm_source=rss,3,4.16,3.6550757627248562,3.2764615559201165,2.6440748476244127,4.16
"Dhalgren",General Reading,2009,https://www.goodreads.com/review/show/369830630?utm_medium=api&utm_source=rss,1,3.78,3.2953789224368255,3.1543829034891924,2.82691905075889,3.78
"Lords of Finance: The Bankers Who Broke the World",General Reading,2012,https://www.goodreads.com/review/show/371644624?utm_medium=api&utm_source=rss,5,4.01,3.5130901678743176,3.130877929761123,2.57426083774174,4.01
"Packing for Mars: The Curious Science of Life in the Void",General Reading,2013,https://www.goodreads.com/review/show/372115382?utm_medium=api&utm_source=rss,4,3.93,3.437364517287364,3.1705351892940024,2.645010657526909,3.93
"Tau Zero",General Reading,2013,https://www.goodreads.com/review/show/691360180?utm_medium=api&utm_source=rss,3,3.83,3.3427074540536714,3.1791866000905817,2.621145477958113,3.83
"Mathematical People: Profiles and Interviews",General Reading,2014,https://www.goodreads.com/review/show/1063407802?utm_medium=api&utm_source=rss,3,3.88,3.3900359856705173,3.1916184602363327,2.621145477958113,3.88
"A Confederacy of Dunces",General Reading,2013,https://www.goodreads.com/review/show/370122433?utm_medium=api&utm_source=rss,3,3.89,3.3995016919938865,3.1694320895565324,2.621145477958113,3.89
"The Mature Optimization Handbook",General Reading,2017,https://www.goodreads.com/review/show/2075257961?utm_medium=api&utm_source=rss,2,4.1,3.5982815247846403,3.299161823709844,2.7622671254511912,4.1
"The Poems of Gerard Manley Hopkins",General Reading,2016,https://www.goodreads.com/review/show/1643077424?utm_medium=api&utm_source=rss,3,4.29,3.7781299449286565,3.4945954908361223,3.0740397452633794,4.29
"Tales of Ise: Lyrical Episodes from Tenth-Century Japan",General Reading,2016,https://www.goodreads.com/review/show/1752790103?utm_medium=api&utm_source=rss,2,3.97,3.475227342580841,3.134045811789025,2.5386562938085575,3.97
"1000 Poems from the Manyōshū",General Reading,2016,https://www.goodreads.com/review/show/1673338544?utm_medium=api&utm_source=rss,3,4.15,3.645610056401488,3.2800756050654156,2.6440748476244127,4.15
"The Rapture of the Nerds",General Reading,2020,https://www.goodreads.com/review/show/416512247?utm_medium=api&utm_source=rss,3,3.34,2.878887844208579,2.85243458438846,2.6652901079298643,3.34
"Japanese Love Hotels: A Cultural History (Routledge Contemporary Japan Series)",General Reading,2015,https://www.goodreads.com/review/show/1200695726?utm_medium=api&utm_source=rss,3,3.33,2.8694221378852096,2.8606176201027456,2.6652901079298643,3.33
"Confessions of an English Opium Eater",General Reading,2016,https://www.goodreads.com/review/show/1778421809?utm_medium=api&utm_source=rss,3,3.3,2.841025018915102,2.8606176201027456,2.6652901079298643,3.3
"Singularity Rising: Surviving and Thriving in a Smarter, Richer, and More Dangerous World",General Reading,2013,https://www.goodreads.com/review/show/453095194?utm_medium=api&utm_source=rss,4,3.68,3.200721859203133,3.06925610764986,2.6920097982944986,3.68
"Voyage of the Beagle",General Reading,2012,https://www.goodreads.com/review/show/467192562?utm_medium=api&utm_source=rss,3,4.03,3.532021580521057,3.130877929761123,2.57426083774174,4.03
"Robert Bakewell and the Longhorn Breed of Cattle",General Reading,2019,https://www.goodreads.com/review/show/2921636058?utm_medium=api&utm_source=rss,3,3.67,3.1912561528797627,3.0735828572891095,2.865842948517334,3.67
"The Ocean at the End of the Lane",General Reading,2014,https://www.goodreads.com/review/show/980474498?utm_medium=api&utm_source=rss,3,4,3.5036244615509484,3.109294885935889,2.5386562938085575,4
"Renaming of the Birds",General Reading,2014,https://www.goodreads.com/review/show/804909803?utm_medium=api&utm_source=rss,3,4.42,3.901184127132456,3.7046565988456712,3.361656719965461,4.42
"Light (Kefahuchi Tract, #1)",General Reading,2014,https://www.goodreads.com/review/show/371384448?utm_medium=api&utm_source=rss,2,3.62,3.1439276212629177,3.091631454525206,2.8817425997587325,3.62
"Wired Love: A Romance of Dots and Dashes",General Reading,2013,https://www.goodreads.com/review/show/684047219?utm_medium=api&utm_source=rss,4,3.88,3.3900359856705173,3.1916184602363327,2.621145477958113,3.88
"The Windup Girl",General Reading,2015,https://www.goodreads.com/review/show/1411687919?utm_medium=api&utm_source=rss,4,3.75,3.266981803466718,3.143957952431198,2.9420243767299623,3.75
"A Life of Sir Francis Galton: From African Exploration to the Birth of Eugenics",General Reading,2016,https://www.goodreads.com/review/show/1605393134?utm_medium=api&utm_source=rss,4,3.69,3.210187565526502,3.083161219694678,2.6920097982944986,3.69
"The Devil in the White City",General Reading,2013,https://www.goodreads.com/review/show/677191961?utm_medium=api&utm_source=rss,4,3.99,3.4941587552275792,3.109294885935889,2.5386562938085575,3.99
"A Random Walk Down Wall Street",General Reading,2020,https://www.goodreads.com/review/show/369879819?utm_medium=api&utm_source=rss,3,4.05,3.5509529931677943,3.152219098660406,2.57426083774174,4.05
"Genius: The Life and Science of Richard Feynman",General Reading,2014,https://www.goodreads.com/review/show/369950186?utm_medium=api&utm_source=rss,5,4.11,3.6077472311080103,3.290748344706648,2.7622671254511912,4.11
"The Histories",General Reading,2020,https://www.goodreads.com/review/show/370115844?utm_medium=api&utm_source=rss,5,3.99,3.4941587552275792,3.109294885935889,2.5386562938085575,3.99
"The Signal and the Noise: Why So Many Predictions Fail—But Some Don't",General Reading,2012,https://www.goodreads.com/review/show/429626610?utm_medium=api&utm_source=rss,4,3.95,3.4562959299341025,3.167391229562459,2.645010657526909,3.95
"Drug Interdiction: Partnerships, Legal Principles, and Investigative Methodologies for Law Enforcement",General Reading,2015,https://www.goodreads.com/review/show/1411688271?utm_medium=api&utm_source=rss,3,3.5,3.0303391453824866,2.9449681630854956,2.6652901079298643,3.5
"The Hall of Uselessness: Collected Essays",General Reading,2015,https://www.goodreads.com/review/show/1263489523?utm_medium=api&utm_source=rss,4,4.32,3.806527063898764,3.478839420587795,3.0740397452633794,4.32
"The Legend of Sigurd & Gudrún",General Reading,2010,https://www.goodreads.com/review/show/370998347?utm_medium=api&utm_source=rss,2,3.88,3.3900359856705173,3.1916184602363327,2.621145477958113,3.88
"The Iron Dragon's Daughter (The Iron Dragon's Daughter #1)",General Reading,2014,https://www.goodreads.com/review/show/373051526?utm_medium=api&utm_source=rss,4,3.72,3.2385846844966104,3.1326049682793937,2.9420243767299623,3.72
"A Memory of Light (The Wheel of Time, #14)",General Reading,2013,https://www.goodreads.com/review/show/369881195?utm_medium=api&utm_source=rss,3,4.56,4.033704015659626,3.656207828865651,3.361656719965461,4.56
"The Notenki Memoirs: Studio Gainax & The Men Who Created Evangelion",General Reading,2009,https://www.goodreads.com/review/show/513412440?utm_medium=api&utm_source=rss,5,3.61,3.1344619149395485,3.091631454525206,2.8817425997587325,3.61
"The Wages of Destruction: The Making and Breaking of the Nazi Economy",General Reading,2014,https://www.goodreads.com/review/show/373143104?utm_medium=api&utm_source=rss,5,4.53,4.005306896689519,3.656207828865651,3.361656719965461,4.53
"Game Programming Patterns",General Reading,2014,https://www.goodreads.com/review/show/927149987?utm_medium=api&utm_source=rss,3,4.5,3.9769097777194102,3.656207828865651,3.361656719965461,4.5
"The Midas Paradox: Financial Markets, Government Policy Shocks, and the Great Depression",General Reading,2018,https://www.goodreads.com/review/show/2714831124?utm_medium=api&utm_source=rss,3,3.84,3.3521731603770406,3.1840477112016923,2.621145477958113,3.84
"The Buried Giant",General Reading,2018,https://www.goodreads.com/review/show/2714826004?utm_medium=api&utm_source=rss,3,3.57,3.096599089646071,3.0808205669360933,2.910628499887679,3.57
"Urne Burial",General Reading,2012,https://www.goodreads.com/review/show/370067965?utm_medium=api&utm_source=rss,5,4.07,3.5698844058145327,3.280851700523182,2.7622671254511912,4.07
"Solid Fool's Gold: Detours on the Way to Conventional Wisdom",General Reading,2019,https://www.goodreads.com/review/show/2674135747?utm_medium=api&utm_source=rss,2,3.66,3.1817904465563944,3.0735828572891095,2.865842948517334,3.66
"The Secret History of the Mongols (2 vols): A Mongolian Epic Chronicle of the Thirteenth Century",General Reading,2017,https://www.goodreads.com/review/show/2044522137?utm_medium=api&utm_source=rss,3,4.46,3.9390469524259335,3.6796280544733766,3.361656719965461,4.46
"Handbook of Intelligence: Evolutionary Theory, Historical Perspective, and Current Concepts",General Reading,2016,https://www.goodreads.com/review/show/1590697850?utm_medium=api&utm_source=rss,3,3.5,3.0303391453824866,2.9449681630854956,2.6652901079298643,3.5
"Moondust",General Reading,2017,https://www.goodreads.com/review/show/1989891390?utm_medium=api&utm_source=rss,4,4.06,3.5604186994911635,3.1458820859969077,2.57426083774174,4.06
"Tombstone: The Untold Story of Mao's Great Famine",General Reading,2013,https://www.goodreads.com/review/show/461549503?utm_medium=api&utm_source=rss,4,4.19,3.6834728816949647,3.3149541704042047,2.6440748476244127,4.19
"空ろの箱と零のマリア 1",General Reading,2014,https://www.goodreads.com/review/show/1087814156?utm_medium=api&utm_source=rss,3,4.19,3.6834728816949647,3.3149541704042047,2.6440748476244127,4.19
"The Grand Strategy of the Roman Empire: From the First Century CE to the Third",General Reading,2017,https://www.goodreads.com/review/show/2113959410?utm_medium=api&utm_source=rss,4,4.15,3.645610056401488,3.2800756050654156,2.6440748476244127,4.15
"Web Typography: A handbook for designing beautiful and effective responsive typography",General Reading,2019,https://www.goodreads.com/review/show/3014615361?utm_medium=api&utm_source=rss,4,4.67,4.137826785216688,3.656207828865651,3.361656719965461,4.67
"Fujiwara Teika's Hundred-Poem Sequence of the Shōji Era, 1200: A Complete Translation, with Introduction and Commentary",General Reading,2018,https://www.goodreads.com/review/show/2433173597?utm_medium=api&utm_source=rss,4,4.43,3.910649833455826,3.7046565988456712,3.361656719965461,4.43
"The Dark Side of the Enlightenment: Wizards, Alchemists, and Spiritual Seekers in the Age of Reason",General Reading,2013,https://www.goodreads.com/review/show/690480926?utm_medium=api&utm_source=rss,3,3.22,2.7652993683281477,2.8606176201027456,2.6652901079298643,3.22
